,time,value,RRI,hf,lf/hf,sdnn,rmssd
168,00:20:52,88,681.82,2029.3399886769641,15.557660683178726,54.466243366784504,16.582897262922828
169,00:21:07,88,681.82,,,,
170,00:21:17,91,659.34,2137.0780879436275,15.514830393871932,54.53805559535882,16.42021104042957
171,00:21:22,93,645.16,,,,
172,00:21:27,94,638.3,2196.8187879601282,15.488019855367117,55.24543639809833,16.27404212046828
173,00:21:32,92,652.17,,,,
174,00:21:37,93,645.16,2194.313296352128,15.360618035283629,55.61092608141546,16.254213331330693
175,00:21:42,91,659.34,,,,
176,00:21:47,89,674.16,2125.947091026485,15.6715229621241,56.21610943674494,16.2201534379617
177,00:21:52,87,689.66,,,,
178,00:21:57,86,697.67,2002.675858958194,15.613098621526989,56.26585941904084,16.42131870963065
179,00:22:02,85,705.88,,,,
180,00:22:12,84,714.29,1785.7608855016854,15.181294888624285,55.95097491116848,16.314156554404917
181,00:22:22,86,697.67,,,,
182,00:22:27,87,689.66,1511.0814655241034,14.655115833981514,54.9245759353085,15.796786485399693
183,00:22:32,89,674.16,,,,
184,00:22:42,87,689.66,1235.670134955908,13.935019206168185,51.495803119659925,15.925036314955559
185,00:22:47,86,697.67,,,,
186,00:22:52,87,689.66,973.0670063658698,11.968644707934029,47.487502416049274,16.05226152291322
187,00:23:07,88,681.82,,,,
188,00:23:12,89,674.16,746.1460123287325,9.652493038259504,43.229624141652806,16.065327794441586
189,00:23:17,88,681.82,,,,
190,00:23:22,85,705.88,569.5509250531076,8.414105606507874,37.48128515917875,16.07313121139673
191,00:23:37,85,705.88,,,,
192,00:23:52,85,705.88,462.69064800722794,7.405863060634492,33.64551896112267,15.022094272322043
193,00:23:57,84,714.29,,,,
194,00:24:02,88,681.82,392.0269935325679,6.3391451746984915,33.21914867994675,15.01989877408212
195,00:24:07,85,705.88,,,,
196,00:24:12,87,689.66,353.58016467487846,5.655342231645647,32.26269938476687,15.86760960869272
197,00:24:17,88,681.82,,,,
198,00:24:22,83,722.89,336.97584331656185,5.386256754500731,32.173259473402084,14.911964652450003
199,00:24:27,82,731.71,,,,
200,00:24:32,81,740.74,322.291565133213,5.076232708098322,32.98456410789379,16.045437205076112
201,00:24:42,82,731.71,,,,
202,00:24:47,84,714.29,300.49840846537603,4.681269714654872,33.04976339475034,14.477253728183529
203,00:24:52,85,705.88,,,,
204,00:24:57,86,697.67,268.48592637134044,4.187048079486824,25.65167313316253,13.979064083588034
205,00:25:02,84,714.29,,,,
206,00:25:07,82,731.71,229.34307585320747,3.5592184950996546,22.577462452089478,13.58827931321245
207,00:25:17,78,769.23,,,,
208,00:25:22,77,779.22,188.08416525022292,2.7401142695238803,25.021130974944082,14.511684032853926
209,00:25:27,75,800.0,,,,
210,00:25:32,74,810.81,144.16340929481922,1.829052864453716,31.51280848499932,14.838589101751285
211,00:25:47,75,800.0,,,,
212,00:25:52,77,779.22,116.98898818475925,1.3251127800518419,38.120658775385664,14.954730805647673
213,00:25:57,81,740.74,,,,
214,00:26:02,83,722.89,107.04891935386078,1.070865090140867,39.97703566768689,16.127962660914008
215,00:26:17,83,722.89,,,,
216,00:26:22,83,722.89,117.58407821657524,1.0253339722998103,39.76287422832961,16.254807201036154
217,00:26:27,83,722.89,,,,
218,00:26:37,82,731.71,155.31050905938164,1.204676766021895,39.58117087965036,16.254807201036154
219,00:26:52,83,722.89,,,,
220,00:26:57,82,731.71,234.36291422423616,1.6642565629459143,39.411388392966124,16.03373579904163
221,00:27:02,81,740.74,,,,
222,00:27:07,80,750.0,332.29143342750467,2.258144228116376,37.9117198098263,15.977123186172227
223,00:27:12,81,740.74,,,,
224,00:27:17,82,731.71,465.5347695870339,3.0910704622802814,35.7490859303723,15.932339720819149
225,00:27:22,81,740.74,,,,
226,00:27:27,81,740.74,613.15779579689,4.105438167850396,33.33998193258818,15.766478260369169
227,00:27:32,82,731.71,,,,
228,00:27:37,85,705.88,749.8354932597389,5.24524518159696,32.50476729179703,15.62157116663639
229,00:27:42,88,681.82,,,,
230,00:27:47,90,666.67,869.4759122457507,6.568728664087076,32.82450989670956,16.329253266604006
231,00:28:02,89,674.16,,,,
232,00:28:12,88,681.82,948.7622877791345,7.692734687922915,34.21858161458896,16.29499685329762
233,00:28:17,87,689.66,,,,
234,00:28:27,86,697.67,981.194371272746,8.594439765656023,34.023689418895614,16.06775221443527
235,00:28:32,83,722.89,,,,
236,00:28:37,84,714.29,964.9512392323553,9.221714321061699,33.73016502558298,16.426924575842186
237,00:28:42,85,705.88,,,,
238,00:28:52,84,714.29,907.871388567577,9.410482090949255,33.02168155337104,16.44216555576744
239,00:29:07,84,714.29,,,,
240,00:29:12,83,722.89,820.0788965024831,9.176030147197526,31.785671402218263,16.086541782826167
241,00:29:17,82,731.71,,,,
242,00:29:22,81,740.74,705.5012385254887,8.103052481128312,31.590324778840962,16.18251569706373
243,00:29:27,81,740.74,,,,
244,00:29:32,81,740.74,607.8961497455259,6.971740276764045,31.588676906997765,15.510581509908327
245,00:29:47,86,697.67,,,,
246,00:29:52,87,689.66,528.1820717045147,5.9735308464023475,31.14434945638173,16.16331301915242
247,00:30:02,84,714.29,,,,
248,00:30:07,79,759.49,471.4001886948079,5.279205711526519,30.519723603209894,15.468182089142127
249,00:30:12,78,769.23,,,,
250,00:30:17,80,750.0,441.2919231730566,4.775726732000336,31.384925163367914,16.722551375008425
251,00:30:22,81,740.74,,,,
252,00:30:32,82,731.71,429.49006939840615,4.351808596987332,31.524327852809627,16.765541495360456
253,00:30:37,83,722.89,,,,
254,00:30:52,85,705.88,422.5635630560017,3.938863099755082,31.280631540156296,16.778440247617098
255,00:30:57,86,697.67,,,,
256,00:31:02,87,689.66,412.48871916474985,3.4241987866955723,31.389138720134348,16.642305447630896
257,00:31:07,86,697.67,,,,
258,00:31:12,85,705.88,395.87667073156496,2.8685815433405883,31.657659139678696,15.773990410463295
259,00:31:17,84,714.29,,,,
260,00:31:22,83,722.89,364.23187560694686,2.2855353003628602,29.040888155446336,15.506145983619088
261,00:31:27,82,731.71,,,,
262,00:31:37,83,722.89,320.43271455779944,1.73269429108545,23.77519662443642,15.242713548660912
263,00:31:47,84,714.29,,,,
264,00:31:57,85,705.88,282.84358757365607,1.3478677767001916,22.0707226886661,14.096674235073896
265,00:32:02,84,714.29,,,,
266,00:32:12,86,697.67,256.1190855542193,1.116093418146947,22.154036448909086,14.198700141713186
