,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd
280,00:46:21,64,2781,937.5,2034.8378187606022,20.93620270485051,99.26289543347372,36.889176168184434
282,00:46:31,66,2791,909.09,1807.5043531264214,16.93764515602411,103.05041048171027,35.293977921892285
284,00:46:41,68,2801,882.35,1635.6510902838347,14.475927957328532,104.86361322212773,20.672042739420025
286,00:46:56,75,2816,800.0,1527.4644272185262,12.528874672081395,98.4935486686663,20.441165698218892
288,00:47:06,79,2826,759.49,1446.9951038638142,11.335835451044492,92.71794401345207,23.784786425488928
290,00:47:16,74,2836,810.81,1396.0425110016006,10.966524117476686,85.63916450611907,23.951099587045505
292,00:47:26,70,2846,857.14,1361.7287112047582,10.9684353252957,76.79450438484702,25.219463491032283
294,00:47:56,70,2876,857.14,1349.2022181894322,10.533688379571899,65.76487885502661,24.501005560372164
296,00:48:11,67,2891,895.52,1386.257220236078,10.066706386460272,57.59615945813167,24.32361987191605
298,00:48:21,63,2901,952.38,1473.6864543031131,9.715615882452989,52.812667945778124,25.07867050474794
300,00:48:36,66,2916,909.09,1629.6591230550207,9.19897850992128,52.165491889186825,24.473374119976317
302,00:48:46,69,2926,869.57,1826.4294173712076,8.847196669842857,51.43795021465877,25.004815658637618
304,00:49:01,71,2941,845.07,2022.5056006536306,8.274437685076421,50.25658352202348,24.885024715720917
306,00:49:11,71,2951,845.07,2224.7164334484646,7.749566121075951,50.32657792734919,24.704808174498655
308,00:49:44,72,2984,833.33,2402.9540811263555,7.310581641129573,50.41371273770659,24.62249680636779
310,00:50:09,72,3009,833.33,2523.835965729928,6.949124662378607,50.36889485929723,24.597153477255727
312,00:50:39,72,3039,833.33,2583.6473995923157,6.699886269784023,50.51899211470587,23.27597009092144
314,00:50:59,71,3059,845.07,2573.2492764108624,6.548887001522362,48.22547107671866,23.246563669690616
316,00:51:09,71,3069,845.07,2500.735610697613,6.517760180519019,45.07466243368001,21.72387039406098
318,00:51:29,71,3089,845.07,2368.0041323138903,6.580742486257777,45.172442855243105,21.43166987123
