,time,value,RRI,ratio,sdnn,rmssd,hf
379,00:55:13,56,1071.43,,,,
380,00:55:18,57,1052.63,14.937263512424193,63.35947332193233,20.025954128967502,1736.2227251475285
381,00:55:23,58,1034.48,,,,
382,00:55:33,59,1016.95,16.319309034528214,66.71274932339182,20.370930468765184,1921.529657707625
383,00:55:38,60,1000.0,,,,
384,00:55:43,61,983.61,16.733474144775503,68.01469289313111,20.666629416249084,2038.1691720872943
385,00:55:48,63,952.38,,,,
386,00:55:53,64,937.5,16.710750414538353,68.23733766488724,21.16547998173307,2091.7743680563135
387,00:55:58,67,895.52,,,,
388,00:56:13,67,895.52,16.377241135640254,68.58272394587966,22.101174777160892,2105.653365355306
389,00:56:18,66,909.09,,,,
390,00:56:33,66,909.09,15.711794112339765,69.07770906621568,22.083960797144076,2074.0992422976933
391,00:56:48,65,923.08,,,,
392,00:56:58,65,923.08,15.025284298513752,69.24857239993163,22.17421052134435,2012.9616997171113
393,00:57:08,67,895.52,,,,
394,00:57:13,69,869.57,14.427575320374237,69.5352122737767,22.420482708852628,1944.9438427240925
395,00:57:23,70,857.14,,,,
396,00:57:28,70,857.14,13.82785488067593,71.12115831596167,22.700892367607818,1879.0619329621823
397,00:57:38,69,869.57,,,,
398,00:57:48,68,882.35,13.58174296847939,72.40839807646626,21.740269979361134,1823.6221808359871
399,00:57:53,67,895.52,,,,
400,00:58:08,67,895.52,13.785017290940576,71.86029913545265,21.645964274842456,1779.1888001721495
401,00:58:13,68,882.35,,,,
402,00:58:18,69,869.57,13.985091607626455,71.60657499055205,21.49727229967866,1722.983218911364
403,00:58:23,70,857.14,,,,
404,00:58:28,67,895.52,13.954768494728505,72.41952969795835,21.542990715766287,1657.1305319329254
405,00:58:38,66,909.09,,,,
406,00:58:48,67,895.52,13.893490323285098,72.45976656358327,21.94192855178025,1554.9806211929956
407,00:59:03,62,967.74,,,,
408,00:59:08,59,1016.95,13.413087192262752,72.62241516001428,23.952538317195856,1436.4342881933526
409,00:59:18,60,1000.0,,,,
410,00:59:23,64,937.5,12.291688930596717,72.9741558459471,23.72648993192623,1276.5184296074324
411,00:59:28,64,937.5,,,,
412,00:59:33,65,923.08,11.410875755619786,67.57389857642023,25.11169034208441,1128.6853662721842
413,00:59:38,66,909.09,,,,
414,00:59:43,67,895.52,10.083595117957454,64.43924882193069,24.998490444220764,981.1181501738057
415,00:59:48,66,909.09,,,,
416,00:59:58,65,923.08,8.750145118105035,62.7587564974167,25.085603074924347,872.911010239335
417,01:00:13,65,923.08,,,,
418,01:00:23,66,909.09,7.550275209595149,61.490477796425154,25.028159406262922,797.924966672094
419,01:00:33,65,923.08,,,,
420,01:00:38,65,923.08,6.782650658152912,61.31535933023569,24.792189191315074,777.9852400117356
421,01:00:48,68,882.35,,,,
422,01:00:53,69,869.57,6.3863538672020566,61.89868529974394,25.376953267538994,814.5413733728365
423,01:00:58,68,882.35,,,,
424,01:01:08,67,895.52,6.2872103694369565,62.78195235146185,23.09831763464649,894.1791428612108
425,01:01:13,65,923.08,,,,
426,01:01:18,64,937.5,6.207377255243754,58.92659732831923,23.219115585470284,1010.5203684900944
427,01:01:33,65,923.08,,,,
428,01:01:38,65,923.08,5.963204481069077,54.117677124079556,23.112090174731023,1120.2125131695263
429,01:01:43,66,909.09,,,,
430,01:01:48,68,882.35,6.024964498387944,46.27138116920786,22.88529828407357,1209.3499810130868
431,01:01:53,72,833.33,,,,
432,01:01:58,73,821.92,5.901390047161048,40.532861193992076,23.966120474792017,1236.3501774839663
433,01:02:03,74,810.81,,,,
434,01:02:08,71,845.07,5.52472361858307,39.82277509574805,23.837056214633385,1197.100925856614
435,01:02:13,68,882.35,,,,
436,01:02:18,64,937.5,5.325782505592476,38.47506689124419,24.415149153000595,1121.433974635889
437,01:02:33,64,937.5,,,,
438,01:02:38,65,923.08,5.141447781766057,38.81239798185679,24.944050863269744,1016.7093742108361
439,01:02:53,64,937.5,,,,
440,01:03:08,63,952.38,5.030290534461361,39.22603444923085,25.038666383929367,901.2493082603042
441,01:03:13,64,937.5,,,,
442,01:03:18,65,923.08,5.049613449828449,40.03476653854646,25.13916961595176,799.4962232225898
443,01:03:23,66,909.09,,,,
444,01:03:38,65,923.08,5.343280488355551,40.022185166097415,24.717842436059783,751.372796509264
445,01:03:53,66,909.09,,,,
446,01:03:58,68,882.35,5.934297319535864,39.1800014772218,24.815461893335613,756.9340232161125
447,01:04:03,67,895.52,,,,
448,01:04:08,66,909.09,6.858348856840541,38.354740566432824,25.049010530786017,817.9864052774371
449,01:04:18,64,937.5,,,,
450,01:04:23,64,937.5,7.930474076834948,38.36722533089716,25.379976680969012,934.7714847099863
451,01:04:33,65,923.08,,,,
452,01:04:38,66,909.09,8.617227768563207,38.372664563116665,25.32812291118475,1057.4033634938269
453,01:04:43,65,923.08,,,,
