,time,value,RRI,hf,lf/hf,sdnn,rmssd
198,00:28:28,74,810.81,1221.5840172630064,17.468888589420114,64.36933645354274,20.340274615367687
199,00:28:33,70,857.14,,,,
200,00:28:38,64,937.5,1119.5788582249813,15.81133685227603,60.511699457752016,21.942795898352028
201,00:28:43,64,937.5,,,,
202,00:28:48,65,923.08,986.5245890514117,13.378468636735048,55.70710470791653,24.40537942540454
203,00:28:53,63,952.38,,,,
204,00:28:58,63,952.38,839.1671429748935,10.583654788985832,52.65332481933702,24.796518435671814
205,00:29:13,63,952.38,,,,
206,00:29:28,63,952.38,701.1567335370441,7.461533533626267,50.45917876534921,23.73121190262619
207,00:29:38,64,937.5,,,,
208,00:29:53,64,937.5,593.7626079366668,5.130288785451415,50.598709389445396,23.437973897249805
209,00:30:08,64,937.5,,,,
210,00:30:09,64,937.5,539.7011487398745,3.7194783787901726,50.655265569920594,23.357666005499983
211,00:30:24,64,937.5,,,,
212,00:30:29,65,923.08,546.6856285557404,3.0001655323642322,50.671863715961535,22.979982460340366
213,00:30:34,64,937.5,,,,
214,00:30:49,65,923.08,599.1042497806269,2.721450787695353,50.08687462758265,22.198246851166108
215,00:31:04,65,923.08,,,,
216,00:31:09,64,937.5,679.7921826216925,2.64811409405263,47.509312144557285,21.41572410112509
217,00:31:24,63,952.38,,,,
218,00:31:34,64,937.5,766.4280750902849,2.6776597561091497,46.3107996048526,20.869149724032404
219,00:31:49,64,937.5,,,,
220,00:32:04,64,937.5,854.605107982554,2.7738130906095266,46.14324944547961,19.924351729397237
221,00:32:14,65,923.08,,,,
222,00:32:19,67,895.52,913.982436278475,2.898559167520293,45.07361051589694,19.76363244312489
223,00:32:24,66,909.09,,,,
224,00:32:29,68,882.35,927.6419552786097,3.0077853044563705,43.16064654099535,19.97237454330254
225,00:32:34,69,869.57,,,,
226,00:32:49,69,869.57,890.4212189673761,3.1200308162267825,40.99293250434911,20.28149624154782
227,00:32:59,67,895.52,,,,
228,00:33:04,66,909.09,801.8472624351605,3.1950062505155072,38.574101601029284,20.349875244064265
229,00:33:19,65,923.08,,,,
230,00:33:34,65,923.08,672.9166337560779,3.2316203839326487,36.3510183025545,20.295687789704072
231,00:33:49,65,923.08,,,,
232,00:34:04,64,937.5,537.4857786346225,3.2775141395154375,35.42627090745176,20.184060087917224
233,00:34:09,63,952.38,,,,
234,00:34:24,62,967.74,419.2005595064217,3.363996334693135,35.89650407911668,20.295687789704072
235,00:34:29,63,952.38,,,,
236,00:34:44,65,923.08,333.88249446054425,3.5609061512259355,37.23791095436071,20.07381465227468
237,00:34:49,67,895.52,,,,
238,00:34:54,68,882.35,283.524754657705,3.9988068484734107,37.026809471417494,20.704625087163496
239,00:35:09,68,882.35,,,,
240,00:35:19,67,895.52,270.1289688744533,4.686648694700803,37.50413828866769,20.78993202175966
241,00:35:34,68,882.35,,,,
242,00:35:39,69,869.57,292.28167522920097,5.628248959227254,37.324437912303345,19.879052558214262
243,00:35:49,70,857.14,,,,
244,00:36:04,70,857.14,343.1983352129519,6.535223475054999,36.1757236227923,20.0415349833738
245,00:36:14,68,882.35,,,,
246,00:36:19,66,909.09,401.6359146421077,6.8097782827531566,35.4884452112262,19.980747008568226
247,00:36:24,66,909.09,,,,
248,00:36:29,67,895.52,459.3589306079626,6.938809691415123,33.138371263536776,19.669658287394245
249,00:36:44,67,895.52,,,,
250,00:36:49,66,909.09,520.8539627689878,6.94727125413729,28.592249659154636,14.664843284925633
251,00:36:54,65,923.08,,,,
252,00:37:09,64,937.5,580.5586768579367,6.693277071601106,28.328074088999355,14.783990513734915
253,00:37:14,63,952.38,,,,
254,00:37:29,63,952.38,631.3818858586536,6.317848364981362,28.468237797695206,14.484765536696173
255,00:37:44,63,952.38,,,,
256,00:37:59,63,952.38,669.6818106740059,5.906928093270851,28.468237797695206,14.484765536696171
257,00:38:14,63,952.38,,,,
258,00:38:19,63,952.38,693.5340132493989,5.573977856117429,28.76412653047584,14.327936747088584
259,00:38:24,64,937.5,,,,
260,00:38:29,65,923.08,702.1610466399818,5.246188855894552,29.053892000338728,14.484765536696173
261,00:38:34,71,845.07,,,,
262,00:38:39,72,833.33,697.9839976503206,4.94893129695164,30.50995765453686,18.275763642997077
263,00:38:49,73,821.92,,,,
264,00:38:54,69,869.57,696.0585216122558,4.771091245981126,34.89979214545436,18.193021873728377
265,00:38:59,68,882.35,,,,
266,00:39:09,67,895.52,691.2767893761493,4.724582947939758,35.513323927328265,19.401362617831037
267,00:39:14,65,923.08,,,,
268,00:39:19,67,895.52,686.419742849006,4.726482946210156,34.82797236622966,19.657477364263475
269,00:39:24,68,882.35,,,,
270,00:39:39,69,869.57,697.8255929072562,4.839835117766219,34.49671135109571,20.135969896517768
271,00:39:54,68,882.35,,,,
272,00:40:09,69,869.57,730.8068486081679,5.061832391935184,34.60536923068206,19.80856014711925
273,00:40:24,67,895.52,,,,
274,00:40:29,64,937.5,784.8999965705378,5.360887357244818,34.93264859405765,19.77636813812622
275,00:40:34,65,923.08,,,,
276,00:40:49,65,923.08,858.0676830930166,5.623755875076292,34.875305832321516,20.687697468075378
277,00:40:54,66,909.09,,,,
278,00:41:09,67,895.52,946.8312357733483,5.8721210819907546,34.5458700304865,20.358638140572555
279,00:41:24,67,895.52,,,,
280,00:41:29,68,882.35,1034.023317557857,5.989527105597816,34.52533125585518,20.352835634558325
281,00:41:39,69,869.57,,,,
282,00:41:44,67,895.52,1105.7689949343687,6.061588040994883,34.841776779947274,20.417329024380148
283,00:41:59,67,895.52,,,,
284,00:42:14,66,909.09,1145.0894312884166,6.031105466244146,33.787942003873844,20.525025740121574
285,00:42:19,63,952.38,,,,
286,00:42:24,62,967.74,1140.8347451314808,5.913128700158908,32.44606008219091,20.998691310048205
287,00:42:29,63,952.38,,,,
288,00:42:44,63,952.38,1089.5091046988512,5.707221704910142,34.40921544574704,20.773395220319472
289,00:42:49,62,967.74,,,,
290,00:42:54,63,952.38,1008.2357846213642,5.489911392381845,35.96847831995483,20.804063672901083
291,00:42:59,63,952.38,,,,
292,00:43:04,63,952.38,897.5151421441677,5.349341794493191,36.907075660863924,20.754540442505395
293,00:43:19,63,952.38,,,,
294,00:43:29,65,923.08,788.9454375753397,5.270292566022568,36.65934553230789,20.678437749382862
295,00:43:34,66,909.09,,,,
296,00:43:44,65,923.08,677.3544087852567,5.146566061884901,35.55206527253876,20.531672894256197
297,00:43:54,66,909.09,,,,
298,00:44:09,66,909.09,595.6252547338373,5.1603006710091455,35.569348894455594,20.634439855815454
299,00:44:19,65,923.08,,,,
300,00:44:34,65,923.08,542.4971639997104,5.38649243807008,35.39212164379212,20.640163195447215
301,00:44:49,66,909.09,,,,
302,00:45:04,66,909.09,518.7189017302568,5.816242857979034,35.39212164379213,20.537106337911723
303,00:45:19,66,909.09,,,,
304,00:45:24,63,952.38,520.3107605396979,6.491501873881595,34.82491184570643,20.42679797496916
305,00:45:29,64,937.5,,,,
306,00:45:44,64,937.5,536.1623462442417,7.119162951776069,34.54801464746755,21.448033162288148
307,00:45:49,64,937.5,,,,
308,00:45:54,65,923.08,550.1460358810905,7.462276778095166,33.9794752575067,21.448033162288148
309,00:46:04,66,909.09,,,,
310,00:46:14,65,923.08,552.9044533670329,7.591936759207842,33.32738714998368,21.435805398006963
311,00:46:29,65,923.08,,,,
312,00:46:44,65,923.08,534.6652803627156,7.169528441059988,31.955936243904503,18.34339468504749
313,00:46:59,64,937.5,,,,
314,00:47:14,64,937.5,503.63955262062217,6.6485796139884155,26.826867921727192,17.080094692181223
315,00:47:15,63,952.38,,,,
316,00:47:30,63,952.38,454.06662559336473,5.883476289320359,25.983994248422245,17.011034354086707
317,00:47:35,62,967.74,,,,
318,00:47:40,57,1052.63,395.54987393911614,5.05817329447359,26.964998438262697,16.223069741474156
319,00:47:55,57,1052.63,,,,
320,00:48:00,62,967.74,326.92965978384234,3.849800736195137,36.54039782855939,20.084386462917823
321,00:48:05,64,937.5,,,,
